E,v,Displacement
20800,0.000000,0.928974
35200,0.000000,0.958030
18400,0.000000,0.919710
16000,0.000000,0.907667
23200,0.000000,0.936322
28000,0.000000,0.947238
3500,0.000000,0.577905
37600,0.000000,0.960709
8500,0.000000,0.826196
25600,0.000000,0.942292
6000,0.000000,0.753778
30400,0.000000,0.951404
32800,0.000000,0.954959
13500,0.000000,0.890568
1000,0.000000,-0.477332
11000,0.000000,0.865697
20800,0.010000,0.928926
23200,0.010000,0.936278
35200,0.010000,0.958002
16000,0.010000,0.907604
18400,0.010000,0.919655
3500,0.010000,0.577616
37600,0.010000,0.960682
8500,0.010000,0.826077
30400,0.010000,0.951370
1000,0.010000,-0.478342
28000,0.010000,0.947202
6000,0.010000,0.753610
25600,0.010000,0.942252
13500,0.010000,0.890493
11000,0.010000,0.865605
32800,0.010000,0.954929
20800,0.020000,0.928883
23200,0.020000,0.936240
16000,0.020000,0.907548
35200,0.020000,0.957977
3500,0.020000,0.577364
37600,0.020000,0.960659
18400,0.020000,0.919607
8500,0.020000,0.825974
28000,0.020000,0.947171
6000,0.020000,0.753462
25600,0.020000,0.942218
1000,0.020000,-0.479225
30400,0.020000,0.951341
20800,0.030000,0.928847
11000,0.020000,0.865525
23200,0.030000,0.936208
3500,0.030000,0.577149
32800,0.020000,0.954902
28000,0.030000,0.947144
13500,0.020000,0.890428
35200,0.030000,0.957955
8500,0.030000,0.825885
16000,0.030000,0.907501
6000,0.030000,0.753337
18400,0.030000,0.919566
37600,0.030000,0.960639
25600,0.030000,0.942188
1000,0.030000,-0.479977
30400,0.030000,0.951317
20800,0.040000,0.928818
23200,0.040000,0.936181
11000,0.030000,0.865457
3500,0.040000,0.576973
32800,0.030000,0.954879
13500,0.030000,0.890372
35200,0.040000,0.957938
16000,0.040000,0.907463
28000,0.040000,0.947122
18400,0.040000,0.919533
8500,0.040000,0.825812
6000,0.040000,0.753234
25600,0.040000,0.942164
37600,0.040000,0.960622
30400,0.040000,0.951296
23200,0.050000,0.936160
20800,0.050000,0.928794
11000,0.040000,0.865400
1000,0.040000,-0.480595
32800,0.040000,0.954860
3500,0.050000,0.576835
13500,0.040000,0.890326
35200,0.050000,0.957924
16000,0.050000,0.907433
18400,0.050000,0.919507
28000,0.050000,0.947104
8500,0.050000,0.825756
6000,0.050000,0.753154
37600,0.050000,0.960610
25600,0.050000,0.942145
30400,0.050000,0.951280
23200,0.060000,0.936146
20800,0.060000,0.928778
3500,0.060000,0.576738
1000,0.050000,-0.481077
32800,0.050000,0.954845
11000,0.050000,0.865357
35200,0.060000,0.957914
13500,0.050000,0.890291
28000,0.060000,0.947092
16000,0.060000,0.907411
18400,0.060000,0.919488
6000,0.060000,0.753097
8500,0.060000,0.825716
37600,0.060000,0.960601
25600,0.060000,0.942132
20800,0.070000,0.928768
30400,0.060000,0.951269
23200,0.070000,0.936137
3500,0.070000,0.576681
1000,0.060000,-0.481418
32800,0.060000,0.954835
11000,0.060000,0.865326
35200,0.070000,0.957909
28000,0.070000,0.947085
18400,0.070000,0.919477
6000,0.070000,0.753064
16000,0.070000,0.907399
13500,0.060000,0.890265
37600,0.070000,0.960595
25600,0.070000,0.942124
8500,0.070000,0.825692
3500,0.080000,0.576667
23200,0.080000,0.936135
20800,0.080000,0.928766
30400,0.070000,0.951263
11000,0.070000,0.865308
35200,0.080000,0.957907
32800,0.070000,0.954829
1000,0.070000,-0.481616
28000,0.080000,0.947083
25600,0.080000,0.942122
6000,0.080000,0.753056
8500,0.080000,0.825686
16000,0.080000,0.907396
18400,0.080000,0.919475
37600,0.080000,0.960594
13500,0.070000,0.890251
20800,0.090000,0.928771
3500,0.090000,0.576696
1000,0.080000,-0.481666
23200,0.090000,0.936139
35200,0.090000,0.957910
32800,0.080000,0.954827
30400,0.080000,0.951261
11000,0.080000,0.865303
28000,0.090000,0.947087
6000,0.090000,0.753072
25600,0.090000,0.942126
16000,0.090000,0.907402
37600,0.090000,0.960597
18400,0.090000,0.919480
8500,0.090000,0.825698
13500,0.080000,0.890247
20800,0.100000,0.928783
3500,0.100000,0.576769
1000,0.090000,-0.481565
23200,0.100000,0.936151
30400,0.090000,0.951264
32800,0.090000,0.954830
35200,0.100000,0.957917
28000,0.100000,0.947096
11000,0.090000,0.865312
25600,0.100000,0.942136
16000,0.100000,0.907418
6000,0.100000,0.753115
37600,0.100000,0.960604
8500,0.100000,0.825728
18400,0.100000,0.919494
13500,0.090000,0.890254
20800,0.110000,0.928803
23200,0.110000,0.936169
1000,0.100000,-0.481308
3500,0.110000,0.576888
30400,0.100000,0.951273
32800,0.100000,0.954838
28000,0.110000,0.947111
35200,0.110000,0.957929
11000,0.100000,0.865336
25600,0.110000,0.942153
6000,0.110000,0.753185
16000,0.110000,0.907444
37600,0.110000,0.960615
18400,0.110000,0.919517
8500,0.110000,0.825778
13500,0.100000,0.890273
20800,0.120000,0.928831
1000,0.110000,-0.480890
23200,0.120000,0.936194
3500,0.120000,0.577055
30400,0.110000,0.951287
35200,0.120000,0.957946
32800,0.110000,0.954851
28000,0.120000,0.947132
11000,0.110000,0.865374
25600,0.120000,0.942176
6000,0.120000,0.753282
37600,0.120000,0.960630
8500,0.120000,0.825846
18400,0.120000,0.919549
16000,0.120000,0.907481
13500,0.110000,0.890304
20800,0.130000,0.928868
23200,0.130000,0.936226
1000,0.120000,-0.480307
3500,0.130000,0.577271
35200,0.130000,0.957967
30400,0.120000,0.951306
28000,0.130000,0.947159
32800,0.120000,0.954869
11000,0.120000,0.865427
25600,0.130000,0.942205
6000,0.130000,0.753408
37600,0.130000,0.960650
8500,0.130000,0.825935
18400,0.130000,0.919590
16000,0.130000,0.907528
13500,0.120000,0.890348
20800,0.140000,0.928913
1000,0.130000,-0.479551
23200,0.140000,0.936266
3500,0.140000,0.577537
30400,0.130000,0.951331
35200,0.140000,0.957994
32800,0.130000,0.954892
11000,0.130000,0.865495
28000,0.140000,0.947192
25600,0.140000,0.942241
6000,0.140000,0.753564
18400,0.140000,0.919640
13500,0.130000,0.890404
37600,0.140000,0.960675
16000,0.140000,0.907586
8500,0.140000,0.826045
20800,0.150000,0.928966
23200,0.150000,0.936315
1000,0.140000,-0.478619
3500,0.150000,0.577857
35200,0.150000,0.958026
30400,0.140000,0.951361
32800,0.140000,0.954920
11000,0.140000,0.865580
28000,0.150000,0.947232
25600,0.150000,0.942285
13500,0.140000,0.890473
6000,0.150000,0.753750
18400,0.150000,0.919701
37600,0.150000,0.960705
16000,0.150000,0.907656
8500,0.150000,0.826176
20800,0.160000,0.929029
23200,0.160000,0.936371
35200,0.160000,0.958063
3500,0.160000,0.578230
1000,0.150000,-0.477502
30400,0.150000,0.951398
11000,0.150000,0.865682
32800,0.150000,0.954954
28000,0.160000,0.947279
25600,0.160000,0.942336
13500,0.150000,0.890555
6000,0.160000,0.753968
18400,0.160000,0.919772
37600,0.160000,0.960740
16000,0.160000,0.907738
8500,0.160000,0.826330
20800,0.170000,0.929102
35200,0.170000,0.958105
23200,0.170000,0.936436
30400,0.160000,0.951441
1000,0.160000,-0.476194
3500,0.170000,0.578661
11000,0.160000,0.865801
32800,0.160000,0.954994
13500,0.160000,0.890652
28000,0.170000,0.947333
25600,0.170000,0.942395
6000,0.170000,0.754219
18400,0.170000,0.919854
37600,0.170000,0.960780
16000,0.170000,0.907832
20800,0.180000,0.929184
8500,0.170000,0.826507
35200,0.180000,0.958154
23200,0.180000,0.936510
30400,0.170000,0.951491
3500,0.180000,0.579151
1000,0.170000,-0.474687
11000,0.170000,0.865938
28000,0.180000,0.947394
32800,0.170000,0.955040
13500,0.170000,0.890764
25600,0.180000,0.942462
18400,0.180000,0.919947
6000,0.180000,0.754505
37600,0.180000,0.960825
16000,0.180000,0.907939
20800,0.190000,0.929277
35200,0.190000,0.958209
8500,0.180000,0.826709
30400,0.180000,0.951547
23200,0.190000,0.936593
1000,0.180000,-0.472973
3500,0.190000,0.579702
11000,0.180000,0.866093
13500,0.180000,0.890891
32800,0.180000,0.955092
28000,0.190000,0.947463
18400,0.190000,0.920052
25600,0.190000,0.942537
6000,0.190000,0.754826
20800,0.200000,0.929381
37600,0.190000,0.960877
35200,0.200000,0.958270
16000,0.190000,0.908060
8500,0.190000,0.826936
30400,0.190000,0.951610
23200,0.200000,0.936686
3500,0.200000,0.580319
11000,0.190000,0.866269
1000,0.190000,-0.471042
13500,0.190000,0.891034
32800,0.190000,0.955151
28000,0.200000,0.947540
18400,0.200000,0.920169
25600,0.200000,0.942622
6000,0.200000,0.755186
20800,0.210000,0.929496
37600,0.200000,0.960934
35200,0.210000,0.958338
16000,0.200000,0.908195
8500,0.200000,0.827190
30400,0.200000,0.951681
23200,0.210000,0.936789
11000,0.200000,0.866465
1000,0.200000,-0.468884
3500,0.210000,0.581003
32800,0.200000,0.955217
13500,0.200000,0.891194
18400,0.210000,0.920300
28000,0.210000,0.947625
25600,0.210000,0.942715
20800,0.220000,0.929623
37600,0.210000,0.960998
6000,0.210000,0.755585
16000,0.210000,0.908345
35200,0.220000,0.958414
8500,0.210000,0.827472
30400,0.210000,0.951760
23200,0.220000,0.936903
11000,0.210000,0.866683
1000,0.210000,-0.466488
3500,0.220000,0.581759
32800,0.210000,0.955290
13500,0.210000,0.891371
18400,0.220000,0.920443
28000,0.220000,0.947720
25600,0.220000,0.942819
20800,0.230000,0.929763
6000,0.220000,0.756026
37600,0.220000,0.961068
35200,0.230000,0.958496
