Force,E,v,Start,Displacement
100.000000,1000.000000,0.000000,-0.514159,-0.477332
100.000000,1000.000000,0.010000,-0.515500,-0.478342
100.000000,1000.000000,0.020000,-0.516712,-0.479225
100.000000,1000.000000,0.030000,-0.517792,-0.479977
100.000000,1000.000000,0.040000,-0.518738,-0.480595
100.000000,1000.000000,0.050000,-0.519546,-0.481077
100.000000,1000.000000,0.060000,-0.520215,-0.481418
100.000000,1000.000000,0.070000,-0.520740,-0.481616
100.000000,1000.000000,0.080000,-0.521119,-0.481666
100.000000,1000.000000,0.090000,-0.521346,-0.481565
100.000000,1000.000000,0.100000,-0.521420,-0.481308
100.000000,1000.000000,0.110000,-0.521334,-0.480890
100.000000,1000.000000,0.120000,-0.521085,-0.480307
100.000000,1000.000000,0.130000,-0.520667,-0.479551
100.000000,1000.000000,0.140000,-0.520076,-0.478619
100.000000,1000.000000,0.150000,-0.519306,-0.477502
100.000000,1000.000000,0.160000,-0.518349,-0.476194
100.000000,1000.000000,0.170000,-0.517201,-0.474687
100.000000,1000.000000,0.180000,-0.515853,-0.472973
100.000000,1000.000000,0.190000,-0.514297,-0.471042
100.000000,1000.000000,0.200000,-0.512526,-0.468884
100.000000,1000.000000,0.210000,-0.510530,-0.466488
100.000000,1000.000000,0.220000,-0.508298,-0.463842
100.000000,1000.000000,0.230000,-0.505819,-0.460932
100.000000,1000.000000,0.240000,-0.503082,-0.457743
100.000000,1000.000000,0.250000,-0.500072,-0.454258
100.000000,1000.000000,0.260000,-0.496775,-0.450459
100.000000,1000.000000,0.270000,-0.493174,-0.446324
100.000000,1000.000000,0.280000,-0.489250,-0.441829
100.000000,1000.000000,0.290000,-0.484982,-0.436947
100.000000,1000.000000,0.300000,-0.480346,-0.431646
100.000000,1000.000000,0.310000,-0.475314,-0.425891
100.000000,1000.000000,0.320000,-0.469856,-0.419639
100.000000,1000.000000,0.330000,-0.463936,-0.412842
100.000000,1000.000000,0.340000,-0.457510,-0.405442
100.000000,1000.000000,0.350000,-0.450529,-0.397370
100.000000,1000.000000,0.360000,-0.442932,-0.388543
100.000000,1000.000000,0.370000,-0.434648,-0.378858
100.000000,1000.000000,0.380000,-0.425586,-0.368189
100.000000,1000.000000,0.390000,-0.415635,-0.356377
100.000000,1000.000000,0.400000,-0.404651,-0.343217
100.000000,1000.000000,0.410000,-0.392446,-0.328438
100.000000,1000.000000,0.420000,-0.378766,-0.311675
100.000000,1000.000000,0.430000,-0.363251,-0.292416
100.000000,1000.000000,0.440000,-0.345376,-0.269917
100.000000,1000.000000,0.450000,-0.324313,-0.243032
100.000000,1000.000000,0.460000,-0.298655,-0.209866
100.000000,1000.000000,0.470000,-0.265695,-0.166956
100.000000,1000.000000,0.480000,-0.219107,-0.106842
100.000000,1000.000000,0.490000,-0.137498,-0.007560
100.000000,1100.000000,0.000000,-0.376509,-0.343029
100.000000,1100.000000,0.010000,-0.377728,-0.343948
100.000000,1100.000000,0.020000,-0.378829,-0.344750
100.000000,1100.000000,0.030000,-0.379811,-0.345434
100.000000,1100.000000,0.040000,-0.380671,-0.345996
100.000000,1100.000000,0.050000,-0.381406,-0.346433
100.000000,1100.000000,0.060000,-0.382014,-0.346744
100.000000,1100.000000,0.070000,-0.382491,-0.346923
100.000000,1100.000000,0.080000,-0.382835,-0.346969
100.000000,1100.000000,0.090000,-0.383042,-0.346877
100.000000,1100.000000,0.100000,-0.383109,-0.346644
100.000000,1100.000000,0.110000,-0.383031,-0.346264
100.000000,1100.000000,0.120000,-0.382804,-0.345733
100.000000,1100.000000,0.130000,-0.382425,-0.345047
100.000000,1100.000000,0.140000,-0.381887,-0.344199
100.000000,1100.000000,0.150000,-0.381187,-0.343184
100.000000,1100.000000,0.160000,-0.380318,-0.341995
100.000000,1100.000000,0.170000,-0.379274,-0.340625
100.000000,1100.000000,0.180000,-0.378048,-0.339066
100.000000,1100.000000,0.190000,-0.376634,-0.337310
100.000000,1100.000000,0.200000,-0.375024,-0.335349
100.000000,1100.000000,0.210000,-0.373209,-0.333171
100.000000,1100.000000,0.220000,-0.371180,-0.330765
100.000000,1100.000000,0.230000,-0.368927,-0.328120
100.000000,1100.000000,0.240000,-0.366438,-0.325221
100.000000,1100.000000,0.250000,-0.363702,-0.322053
100.000000,1100.000000,0.260000,-0.360705,-0.318599
100.000000,1100.000000,0.270000,-0.357431,-0.314840
100.000000,1100.000000,0.280000,-0.353864,-0.310754
100.000000,1100.000000,0.290000,-0.349983,-0.306315
100.000000,1100.000000,0.300000,-0.345769,-0.301496
100.000000,1100.000000,0.310000,-0.341195,-0.296264
100.000000,1100.000000,0.320000,-0.336233,-0.290581
100.000000,1100.000000,0.330000,-0.330851,-0.284402
100.000000,1100.000000,0.340000,-0.325009,-0.277675
100.000000,1100.000000,0.350000,-0.318662,-0.270337
100.000000,1100.000000,0.360000,-0.311756,-0.262311
100.000000,1100.000000,0.370000,-0.304225,-0.253507
100.000000,1100.000000,0.380000,-0.295987,-0.243808
100.000000,1100.000000,0.390000,-0.286941,-0.233070
100.000000,1100.000000,0.400000,-0.276956,-0.221106
100.000000,1100.000000,0.410000,-0.265860,-0.207671
100.000000,1100.000000,0.420000,-0.253423,-0.192432
100.000000,1100.000000,0.430000,-0.239319,-0.174924
100.000000,1100.000000,0.440000,-0.223069,-0.154470
100.000000,1100.000000,0.450000,-0.203921,-0.130029
100.000000,1100.000000,0.460000,-0.180596,-0.099878
100.000000,1100.000000,0.470000,-0.150631,-0.060869
100.000000,1100.000000,0.480000,-0.108279,-0.006220
100.000000,1100.000000,0.490000,-0.034089,0.084037
100.000000,1200.000000,0.000000,-0.261799,-0.231110
100.000000,1200.000000,0.010000,-0.262917,-0.231952
100.000000,1200.000000,0.020000,-0.263927,-0.232688
100.000000,1200.000000,0.030000,-0.264827,-0.233314
100.000000,1200.000000,0.040000,-0.265615,-0.233829
100.000000,1200.000000,0.050000,-0.266289,-0.234230
100.000000,1200.000000,0.060000,-0.266846,-0.234515
100.000000,1200.000000,0.070000,-0.267283,-0.234680
100.000000,1200.000000,0.080000,-0.267599,-0.234722
100.000000,1200.000000,0.090000,-0.267789,-0.234638
100.000000,1200.000000,0.100000,-0.267850,-0.234423
100.000000,1200.000000,0.110000,-0.267778,-0.234075
100.000000,1200.000000,0.120000,-0.267571,-0.233589
100.000000,1200.000000,0.130000,-0.267223,-0.232960
100.000000,1200.000000,0.140000,-0.266730,-0.232182
100.000000,1200.000000,0.150000,-0.266088,-0.231252
100.000000,1200.000000,0.160000,-0.265291,-0.230162
100.000000,1200.000000,0.170000,-0.264334,-0.228906
100.000000,1200.000000,0.180000,-0.263211,-0.227477
100.000000,1200.000000,0.190000,-0.261915,-0.225868
100.000000,1200.000000,0.200000,-0.260438,-0.224070
100.000000,1200.000000,0.210000,-0.258775,-0.222073
100.000000,1200.000000,0.220000,-0.256915,-0.219868
100.000000,1200.000000,0.230000,-0.254849,-0.217443
100.000000,1200.000000,0.240000,-0.252568,-0.214786
100.000000,1200.000000,0.250000,-0.250060,-0.211882
100.000000,1200.000000,0.260000,-0.247313,-0.208716
100.000000,1200.000000,0.270000,-0.244312,-0.205270
100.000000,1200.000000,0.280000,-0.241042,-0.201524
100.000000,1200.000000,0.290000,-0.237485,-0.197456
100.000000,1200.000000,0.300000,-0.233621,-0.193038
100.000000,1200.000000,0.310000,-0.229429,-0.188242
100.000000,1200.000000,0.320000,-0.224880,-0.183033
100.000000,1200.000000,0.330000,-0.219947,-0.177369
100.000000,1200.000000,0.340000,-0.214592,-0.171202
100.000000,1200.000000,0.350000,-0.208774,-0.164475
100.000000,1200.000000,0.360000,-0.202443,-0.157119
100.000000,1200.000000,0.370000,-0.195540,-0.149048
100.000000,1200.000000,0.380000,-0.187988,-0.140158
100.000000,1200.000000,0.390000,-0.179696,-0.130314
100.000000,1200.000000,0.400000,-0.170543,-0.119347
100.000000,1200.000000,0.410000,-0.160372,-0.107032
100.000000,1200.000000,0.420000,-0.148971,-0.093062
100.000000,1200.000000,0.430000,-0.136043,-0.077014
100.000000,1200.000000,0.440000,-0.121146,-0.058264
100.000000,1200.000000,0.450000,-0.103594,-0.035860
100.000000,1200.000000,0.460000,-0.082213,-0.008222
100.000000,1200.000000,0.470000,-0.054746,0.027537
100.000000,1200.000000,0.480000,-0.015922,0.077632
100.000000,1200.000000,0.490000,0.052085,0.160367
100.000000,1300.000000,0.000000,-0.164738,-0.136409
100.000000,1300.000000,0.010000,-0.165769,-0.137187
100.000000,1300.000000,0.020000,-0.166701,-0.137865
100.000000,1300.000000,0.030000,-0.167532,-0.138444
100.000000,1300.000000,0.040000,-0.168260,-0.138919
100.000000,1300.000000,0.050000,-0.168882,-0.139290
100.000000,1300.000000,0.060000,-0.169396,-0.139552
100.000000,1300.000000,0.070000,-0.169800,-0.139704
100.000000,1300.000000,0.080000,-0.170091,-0.139743
100.000000,1300.000000,0.090000,-0.170266,-0.139665
100.000000,1300.000000,0.100000,-0.170323,-0.139468
100.000000,1300.000000,0.110000,-0.170257,-0.139146
100.000000,1300.000000,0.120000,-0.170065,-0.138697
100.000000,1300.000000,0.130000,-0.169744,-0.138117
100.000000,1300.000000,0.140000,-0.169289,-0.137399
100.000000,1300.000000,0.150000,-0.168697,-0.136540
100.000000,1300.000000,0.160000,-0.167961,-0.135534
100.000000,1300.000000,0.170000,-0.167078,-0.134375
100.000000,1300.000000,0.180000,-0.166041,-0.133056
100.000000,1300.000000,0.190000,-0.164844,-0.131570
100.000000,1300.000000,0.200000,-0.163482,-0.129911
100.000000,1300.000000,0.210000,-0.161946,-0.128068
100.000000,1300.000000,0.220000,-0.160229,-0.126032
100.000000,1300.000000,0.230000,-0.158322,-0.123794
100.000000,1300.000000,0.240000,-0.156217,-0.121341
100.000000,1300.000000,0.250000,-0.153902,-0.118660
100.000000,1300.000000,0.260000,-0.151366,-0.115738
100.000000,1300.000000,0.270000,-0.148595,-0.112557
100.000000,1300.000000,0.280000,-0.145577,-0.109099
100.000000,1300.000000,0.290000,-0.142294,-0.105344
100.000000,1300.000000,0.300000,-0.138727,-0.101266
100.000000,1300.000000,0.310000,-0.134857,-0.096839
100.000000,1300.000000,0.320000,-0.130659,-0.092030
100.000000,1300.000000,0.330000,-0.126104,-0.086802
100.000000,1300.000000,0.340000,-0.121161,-0.081109
100.000000,1300.000000,0.350000,-0.115791,-0.074900
100.000000,1300.000000,0.360000,-0.109948,-0.068110
100.000000,1300.000000,0.370000,-0.103575,-0.060660
100.000000,1300.000000,0.380000,-0.096605,-0.052453
100.000000,1300.000000,0.390000,-0.088950,-0.043367
100.000000,1300.000000,0.400000,-0.080501,-0.033244
100.000000,1300.000000,0.410000,-0.071113,-0.021875
100.000000,1300.000000,0.420000,-0.060589,-0.008981
100.000000,1300.000000,0.430000,-0.048655,0.005833
100.000000,1300.000000,0.440000,-0.034904,0.023140
100.000000,1300.000000,0.450000,-0.018702,0.043822
100.000000,1300.000000,0.460000,0.001034,0.069334
100.000000,1300.000000,0.470000,0.026389,0.102342
100.000000,1300.000000,0.480000,0.062226,0.148583
100.000000,1300.000000,0.490000,0.125001,0.224954
100.000000,1400.000000,0.000000,-0.081542,-0.055237
100.000000,1400.000000,0.010000,-0.082500,-0.055959
100.000000,1400.000000,0.020000,-0.083366,-0.056589
100.000000,1400.000000,0.030000,-0.084137,-0.057126
100.000000,1400.000000,0.040000,-0.084813,-0.057568
100.000000,1400.000000,0.050000,-0.085390,-0.057912
100.000000,1400.000000,0.060000,-0.085868,-0.058156
100.000000,1400.000000,0.070000,-0.086243,-0.058297
100.000000,1400.000000,0.080000,-0.086513,-0.058333
