E,v,Displacement
3500,0.000000,-0.021396
11000,0.000000,0.170465
8500,0.000000,0.144131
28000,0.000000,0.224825
30400,0.000000,0.227602
6000,0.000000,0.095852
25600,0.000000,0.221528
23200,0.000000,0.217548
32800,0.000000,0.229973
35200,0.000000,0.232020
13500,0.000000,0.187045
16000,0.000000,0.198445
20800,0.000000,0.212650
37600,0.000000,0.233806
1000,0.000000,-0.724888
18400,0.000000,0.206473
3500,0.010000,-0.022479
11000,0.010000,0.170120
8500,0.010000,0.143685
30400,0.010000,0.227478
28000,0.010000,0.224690
6000,0.010000,0.095221
23200,0.010000,0.217385
25600,0.010000,0.221380
35200,0.010000,0.231913
32800,0.010000,0.229857
13500,0.010000,0.186765
18400,0.010000,0.206268
20800,0.010000,0.212468
37600,0.010000,0.233705
16000,0.010000,0.198208
1000,0.010000,-0.728675
3500,0.020000,-0.023511
11000,0.020000,0.169792
8500,0.020000,0.143260
30400,0.020000,0.227359
28000,0.020000,0.224561
6000,0.020000,0.094618
23200,0.020000,0.217229
25600,0.020000,0.221239
35200,0.020000,0.231810
32800,0.020000,0.229747
16000,0.020000,0.197982
13500,0.020000,0.186497
1000,0.020000,-0.732290
37600,0.020000,0.233609
20800,0.020000,0.212294
18400,0.020000,0.206071
3500,0.030000,-0.024494
11000,0.030000,0.169479
8500,0.030000,0.142856
28000,0.030000,0.224438
30400,0.030000,0.227246
6000,0.030000,0.094045
23200,0.030000,0.217081
25600,0.030000,0.221104
35200,0.030000,0.231712
32800,0.030000,0.229642
16000,0.030000,0.197767
13500,0.030000,0.186242
1000,0.030000,-0.735728
18400,0.030000,0.205884
20800,0.030000,0.212128
37600,0.030000,0.233518
3500,0.040000,-0.025424
8500,0.040000,0.142472
11000,0.040000,0.169183
28000,0.040000,0.224322
30400,0.040000,0.227139
6000,0.040000,0.093503
23200,0.040000,0.216940
25600,0.040000,0.220977
35200,0.040000,0.231620
32800,0.040000,0.229543
16000,0.040000,0.197563
13500,0.040000,0.186001
1000,0.040000,-0.738984
20800,0.040000,0.211972
18400,0.040000,0.205707
37600,0.040000,0.233431
3500,0.050000,-0.026302
8500,0.050000,0.142111
11000,0.050000,0.168904
28000,0.050000,0.224212
30400,0.050000,0.227038
6000,0.050000,0.092991
23200,0.050000,0.216808
25600,0.050000,0.220857
35200,0.050000,0.231533
32800,0.050000,0.229450
16000,0.050000,0.197372
13500,0.050000,0.185774
1000,0.050000,-0.742056
20800,0.050000,0.211824
18400,0.050000,0.205540
37600,0.050000,0.233350
3500,0.060000,-0.027125
11000,0.060000,0.168642
8500,0.060000,0.141772
30400,0.060000,0.226943
28000,0.060000,0.224109
23200,0.060000,0.216684
6000,0.060000,0.092510
25600,0.060000,0.220745
32800,0.060000,0.229362
35200,0.060000,0.231451
16000,0.060000,0.197191
13500,0.060000,0.185560
1000,0.060000,-0.744938
20800,0.060000,0.211686
37600,0.060000,0.233273
18400,0.060000,0.205384
3500,0.070000,-0.027893
11000,0.070000,0.168398
8500,0.070000,0.141456
30400,0.070000,0.226854
6000,0.070000,0.092062
23200,0.070000,0.216568
28000,0.070000,0.224013
25600,0.070000,0.220640
16000,0.070000,0.197023
35200,0.070000,0.231374
32800,0.070000,0.229280
1000,0.070000,-0.747626
13500,0.070000,0.185361
18400,0.070000,0.205238
37600,0.070000,0.233201
20800,0.070000,0.211556
3500,0.080000,-0.028605
8500,0.080000,0.141163
11000,0.080000,0.168171
30400,0.080000,0.226773
23200,0.080000,0.216461
6000,0.080000,0.091647
28000,0.080000,0.223924
25600,0.080000,0.220542
16000,0.080000,0.196868
35200,0.080000,0.231304
32800,0.080000,0.229204
1000,0.080000,-0.750116
13500,0.080000,0.185177
18400,0.080000,0.205102
20800,0.080000,0.211437
37600,0.080000,0.233135
3500,0.090000,-0.029257
8500,0.090000,0.140894
11000,0.090000,0.167964
30400,0.090000,0.226697
23200,0.090000,0.216362
6000,0.090000,0.091266
28000,0.090000,0.223843
25600,0.090000,0.220453
35200,0.090000,0.231239
16000,0.090000,0.196725
32800,0.090000,0.229134
1000,0.090000,-0.752401
13500,0.090000,0.185007
18400,0.090000,0.204978
20800,0.090000,0.211327
37600,0.090000,0.233074
3500,0.100000,-0.029851
11000,0.100000,0.167775
8500,0.100000,0.140650
30400,0.100000,0.226629
23200,0.100000,0.216273
6000,0.100000,0.090920
28000,0.100000,0.223769
25600,0.100000,0.220372
35200,0.100000,0.231180
16000,0.100000,0.196595
32800,0.100000,0.229071
1000,0.100000,-0.754477
13500,0.100000,0.184854
18400,0.100000,0.204865
20800,0.100000,0.211227
37600,0.100000,0.233019
3500,0.110000,-0.030382
11000,0.110000,0.167606
8500,0.110000,0.140431
30400,0.110000,0.226568
23200,0.110000,0.216192
6000,0.110000,0.090610
28000,0.110000,0.223702
25600,0.110000,0.220299
16000,0.110000,0.196479
35200,0.110000,0.231127
32800,0.110000,0.229014
1000,0.110000,-0.756338
13500,0.110000,0.184716
18400,0.110000,0.204764
20800,0.110000,0.211138
37600,0.110000,0.232970
3500,0.120000,-0.030851
11000,0.120000,0.167457
8500,0.120000,0.140238
30400,0.120000,0.226514
23200,0.120000,0.216122
6000,0.120000,0.090337
28000,0.120000,0.223644
25600,0.120000,0.220235
16000,0.120000,0.196376
35200,0.120000,0.231080
32800,0.120000,0.228964
1000,0.120000,-0.757977
13500,0.120000,0.184594
18400,0.120000,0.204675
20800,0.120000,0.211059
37600,0.120000,0.232926
3500,0.130000,-0.031254
11000,0.130000,0.167328
8500,0.130000,0.140072
30400,0.130000,0.226467
23200,0.130000,0.216061
6000,0.130000,0.090102
28000,0.130000,0.223593
25600,0.130000,0.220180
35200,0.130000,0.231040
16000,0.130000,0.196288
32800,0.130000,0.228921
1000,0.130000,-0.759389
13500,0.130000,0.184490
18400,0.130000,0.204598
20800,0.130000,0.210991
37600,0.130000,0.232889
3500,0.140000,-0.031590
11000,0.140000,0.167221
8500,0.140000,0.139934
30400,0.140000,0.226429
23200,0.140000,0.216010
6000,0.140000,0.089906
28000,0.140000,0.223551
25600,0.140000,0.220134
